timestamp,pos_x,pos_y,pos_z,b827eb4521b4,000000000102,b827eb917e19,b827ebf7d096,b827ebfd7811,000000000101,000000000302,000000000301,000000000402,000000000201,000000000202,000000000401
1581252469.9174502,10.713276674909093,13.014,1.823926030909091,-72,-80,-72,-66,-80,-76,-200,-69,-72,-69,-67,-70
1581252470.3703737,10.941302779636365,13.028611241454547,1.8077935760909087,-71,-78,-70,-64,-71,-84,-74,-60,-83,-200,-63,-74
1581252470.8261907,11.167038544666665,13.041566588916668,1.8150000000000004,-87,-75,-68,-61,-75,-78,-72,-59,-74,-69,-63,-77
1581252471.2763407,11.35208341575,13.0621260855,1.844064793666667,-75,-75,-68,-62,-72,-82,-73,-61,-74,-68,-63,-75
1581252471.7366588,11.521897862916667,13.086959145083334,1.8421136750833336,-80,-67,-70,-61,-80,-69,-78,-71,-74,-73,-57,-77
1581252472.193627,11.617269544272729,13.104778381545456,1.8082392929090907,-70,-75,-68,-58,-200,-200,-66,-66,-80,-71,-66,-75
1581252472.643513,11.6689623603,13.1063439246,1.7465340983000002,-75,-75,-73,-64,-200,-200,-74,-64,-86,-74,-68,-77
1581252473.0966358,11.713033145333334,13.149695768666666,1.7688644568888892,-200,-73,-71,-200,-78,-81,-200,-60,-76,-81,-65,-77
1581252473.5545592,11.760733611272729,13.102421434636362,1.779652098909091,-75,-200,-74,-61,-83,-77,-79,-64,-73,-86,-67,-82
1581252474.0121481,11.8586852442,13.0310360941,1.7017967086999999,-77,-79,-74,-63,-78,-73,-76,-64,-77,-200,-63,-200
1581252474.4714637,11.85544798225,12.923751578374999,1.75052017575,-71,-81,-200,-64,-200,-200,-70,-69,-200,-75,-69,-75
1581252474.925977,11.837366194888888,12.854728871777777,1.7778169027777777,-200,-73,-71,-200,-80,-71,-200,-71,-74,-82,-75,-79
1581252475.38199,11.8230025605,12.8097732256,1.7975566936,-83,-200,-77,-68,-82,-75,-72,-66,-78,-200,-70,-82
1581252475.8380368,11.881510403692307,12.747676864846154,1.7809375770769231,-68,-76,-71,-77,-83,-80,-79,-59,-82,-86,-68,-73
1581252476.2914402,11.893604936888888,12.664822227,1.774576544111111,-73,-79,-83,-71,-77,-72,-200,-67,-81,-200,-83,-200
1581252476.7453623,11.942416732,12.518048409818181,1.7429860567272728,-72,-82,-72,-71,-79,-74,-80,-75,-80,-200,-72,-68
1581252477.2000039,11.88952483,12.386138265375,1.770647517,-72,-80,-200,-72,-77,-72,-73,-200,-200,-80,-200,-66
1581252477.6550593,11.905886769222223,12.224721809333335,1.7519317752222223,-200,-82,-71,-200,-82,-200,-75,-73,-78,-80,-73,-69
1581252478.106319,11.847977020666669,12.074543701222222,1.7774333197777779,-200,-72,-70,-200,-76,-87,-200,-68,-81,-83,-66,-79
1581252478.5659769,11.823606399181818,11.890606399181818,1.8352649675454544,-70,-81,-71,-200,-85,-71,-64,-72,-81,-75,-62,-68
1581252479.0189762,11.78911696,11.702719366916666,1.8218070425000004,-76,-84,-71,-73,-88,-77,-74,-68,-80,-75,-68,-68
1581252479.476786,11.833377507916666,11.508957972250002,1.8262870117499999,-73,-74,-69,-74,-81,-80,-66,-69,-80,-86,-60,-75
1581252479.930963,11.841060141,11.30546321025,1.85361804225,-67,-72,-200,-71,-200,-70,-65,-200,-200,-84,-66,-63
1581252480.3805935,11.848179384571427,11.091383538285715,1.8561793845714285,-71,-70,-200,-71,-200,-75,-68,-200,-200,-200,-66,-69
1581252480.8383381,11.864805240833334,10.86140828275,1.851548689666667,-66,-77,-65,-78,-80,-74,-76,-73,-85,-74,-73,-68
1581252481.2903678,11.870999999999999,10.630648819545456,1.8427422167272725,-68,-81,-200,-73,-81,-74,-71,-78,-81,-85,-62,-70
1581252481.748872,11.887024600071427,10.406852063499999,1.8379135636428572,-63,-70,-75,-71,-72,-80,-83,-79,-72,-79,-69,-72
